"Comp","In","Type","Date","Round","Match","Score","Tries","Points","Adv","Time","Adv"
"S12","NZL",NA,"Sat, 25 May 1996","Final","Blues v Natal","45-21","6:2","5-0","Auckland",NA,"13+"
"S12","NZL",NA,"Sun, 19 May 1996","Semi","Blues v Northern Transvaal","48-11","8:1","5-0","Auckland",NA,"13+"
"S12","AUS",NA,"Sat, 18 May 1996","Semi","Reds v Natal","25-43","3:7","0-5","Brisbane",NA,"13+"
"S12","SAF",NA,"Tue, 07 May 1996","12","Transvaal v Blues","34-22","4:3","5-0","Johannesburg",NA,"-12"
"S12","AUS",NA,"Sun, 12 May 1996","12","Brumbies v Highlanders","70-26","9:3","5-0","Canberra",NA,"13+"
"S12","SAF",NA,"Sat, 11 May 1996","12","Transvaal v Reds","16-25","2:3","0-4","Johannesburg",NA,"-12"
"S12","SAF",NA,"Sat, 11 May 1996","12","Natal v Blues","23-30","2:3","1-4","Durban",NA,"-12"
"S12","SAF",NA,"Fri, 10 May 1996","12","Western Province v Northern Transvaal","7-35","1:5","0-5","Cape Town",NA,"13+"
"S12","AUS",NA,"Fri, 10 May 1996","12","Waratahs v Hurricanes","52-25","8:3","5-0","Sydney",NA,"13+"
"S12","SAF",NA,"Sun, 05 May 1996","11","Natal v Reds","20-21","1:2","1-4","Durban",NA,"-12"
"S12","NZL",NA,"Sun, 05 May 1996","11","Crusaders v Highlanders","27-29","3:3","1-4","Christchurch",NA,"-12"
"S12","SAF",NA,"Sat, 04 May 1996","11","Northern Transvaal v Brumbies","23-10","2:1","4-0","Pretoria",NA,"13+"
"S12","NZL",NA,"Sat, 04 May 1996","11","Chiefs v Hurricanes","15-23","2:2","0-4","Rotorua",NA,"-12"
"S12","SAF",NA,"Wed, 01 May 1996","11","Natal v Transvaal","49-13","6:1","5-0","Durban",NA,"13+"
"S12","NZL",NA,"Wed, 01 May 1996","11","Blues v Waratahs","56-44","8:6","5-1","Auckland",NA,"-12"
"S12","SAF",NA,"Sun, 28 Apr 1996","10","Western Province v Brumbies","25-16","3:1","4-0","Cape Town",NA,"-12"
"S12","NZL",NA,"Sun, 28 Apr 1996","10","Chiefs v Waratahs","39-17","5:2","5-0","Hamilton",NA,"13+"
"S12","SAF",NA,"Sat, 27 Apr 1996","10","Natal v Crusaders","58-26","8:2","5-0","Durban",NA,"13+"
"S12","SAF",NA,"Sat, 27 Apr 1996","10","Northern Transvaal v Hurricanes","38-20","4:3","5-0","Pretoria",NA,"13+"
"S12","AUS",NA,"Fri, 26 Apr 1996","10","Reds v Blues","51-13","7:2","5-0","Brisbane",NA,"13+"
"S12","SAF",NA,"Tue, 23 Apr 1996","9","Western Province v Hurricanes","35-25","3:3","4-0","Cape Town",NA,"-12"
"S12","SAF",NA,"Tue, 23 Apr 1996","9","Transvaal v Crusaders","55-23","6:3","5-0","Johannesburg",NA,"13+"
"S12","AUS",NA,"Sun, 21 Apr 1996","9","Waratahs v Highlanders","29-25","4:3","5-1","Sydney",NA,"-12"
"S12","AUS",NA,"Sat, 20 Apr 1996","9","Brumbies v Reds","21-20","2:2","4-1","Canberra",NA,"-12"
"S12","NZL",NA,"Sat, 20 Apr 1996","9","Blues v Chiefs","39-31","5:3","5-0","Auckland",NA,"-12"
"S12","SAF",NA,"Fri, 19 Apr 1996","9","Northern Transvaal v Transvaal","25-15","1:3","4-0","Pretoria",NA,"-12"
"S12","NZL",NA,"Tue, 16 Apr 1996","8","Highlanders v Chiefs","5-22","1:3","0-4","Invercargill",NA,"13+"
"S12","AUS",NA,"Sun, 14 Apr 1996","8","Reds v Waratahs","15-13","0:1","4-1","Brisbane",NA,"-12"
"S12","NZL",NA,"Sun, 14 Apr 1996","8","Hurricanes v Crusaders","13-36","1:4","0-5","New Plymouth",NA,"13+"
"S12","SAF",NA,"Sat, 13 Apr 1996","8","Transvaal v Western Province","23-26","2:1","1-4","Johannesburg",NA,"-12"
"S12","NZL",NA,"Thu, 11 Apr 1996","8","Chiefs v Northern Transvaal","17-9","2:0","4-0","Hamilton",NA,"-12"
"S12","NZL",NA,"Mon, 08 Apr 1996","7","Crusaders v Brumbies","7-29","1:3","0-4","Christchurch",NA,"13+"
"S12","NZL",NA,"Sun, 07 Apr 1996","7","Blues v Northern Transvaal","30-26","4:3","5-1","Auckland",NA,"-12"
"S12","NZL",NA,"Sat, 06 Apr 1996","7","Hurricanes v Natal","27-43","4:6","1-5","Wellington",NA,"13+"
"S12","NZL",NA,"Wed, 10 Apr 1996","7","Highlanders v Natal","33-32","4:5","5-2","Dunedin",NA,"-12"
"S12","AUS",NA,"Wed, 03 Apr 1996","6","Reds v Western Province","36-26","4:3","5-0","Brisbane",NA,"-12"
"S12","NZL",NA,"Wed, 03 Apr 1996","6","Crusaders v Northern Transvaal","18-34","2:5","0-5","Christchurch",NA,"13+"
"S12","NZL",NA,"Wed, 03 Apr 1996","6","Chiefs v Brumbies","26-18","2:2","4-0","Whangarei",NA,"-12"
"S12","AUS",NA,"Tue, 02 Apr 1996","6","Waratahs v Natal","6-34","0:5","0-5","Sydney",NA,"13+"
"S12","NZL",NA,"Tue, 02 Apr 1996","6","Blues v Highlanders","51-29","7:4","5-1","Pukekohe",NA,"13+"
"S12","NZL",NA,"Sat, 30 Mar 1996","5","Highlanders v Hurricanes","15-44","0:5","0-5","Dunedin",NA,"13+"
"S12","NZL",NA,"Sat, 30 Mar 1996","5","Chiefs v Western Province","44-17","5:2","5-0","Hamilton",NA,"13+"
"S12","AUS",NA,"Fri, 29 Mar 1996","5","Reds v Northern Transvaal","25-18","1:2","4-1","Brisbane",NA,"-12"
"S12","AUS",NA,"Fri, 29 Mar 1996","5","Brumbies v Natal","44-31","6:3","5-0","Canberra",NA,"13+"
"S12","NZL",NA,"Fri, 29 Mar 1996","5","Crusaders v Waratahs","21-16","2:1","4-1","Christchurch",NA,"-12"
"S12","NZL",NA,"Wed, 27 Mar 1996","5","Blues v Western Province","48-30","6:3","5-0","Auckland",NA,"13+"
"S12","AUS",NA,"Sun, 24 Mar 1996","4","Waratahs v Brumbies","44-10","6:2","5-0","Sydney",NA,"13+"
"S12","NZL",NA,"Sun, 24 Mar 1996","4","Hurricanes v Reds","25-32","2:5","1-5","Wellington",NA,"-12"
"S12","SAF",NA,"Sat, 23 Mar 1996","4","Transvaal v Chiefs","26-23","2:2","4-1","Johannesburg",NA,"-12"
"S12","NZL",NA,"Fri, 22 Mar 1996","4","Crusaders v Western Province","16-16","1:1","2-2","Christchurch",NA,"0"
"S12","SAF",NA,"Wed, 20 Mar 1996","4","Northern Transvaal v Highlanders","59-29","4:2","5-0","Pretoria",NA,"13+"
"S12","SAF",NA,"Sun, 17 Mar 1996","3","Natal v Chiefs","63-25","7:3","5-0","Durban",NA,"13+"
"S12","AUS",NA,"Sun, 17 Mar 1996","3","Reds v Crusaders","52-16","6:1","5-0","Brisbane",NA,"13+"
"S12","SAF",NA,"Sat, 16 Mar 1996","3","Western Province v Highlanders","25-52","3:8","0-5","Cape Town",NA,"13+"
"S12","SAF",NA,"Sat, 16 Mar 1996","3","Northern Transvaal v Waratahs","32-29","2:2","4-1","Pretoria",NA,"-12"
"S12","AUS",NA,"Fri, 15 Mar 1996","3","Brumbies v Blues","40-34","5:5","5-2","Canberra",NA,"-12"
"S12","NZL",NA,"Fri, 15 Mar 1996","3","Hurricanes v Transvaal","32-16","4:1","5-0","Napier",NA,"13+"
"S12","SAF",NA,"Sat, 09 Mar 1996","2","Western Province v Waratahs","22-30","2:3","0-4","Cape Town",NA,"-12"
"S12","SAF",NA,"Sat, 09 Mar 1996","2","Northern Transvaal v Natal","30-8","3:1","4-0","Pretoria",NA,"13+"
"S12","AUS",NA,"Sat, 09 Mar 1996","2","Brumbies v Hurricanes","35-28","4:3","5-1","Canberra",NA,"-12"
"S12","NZL",NA,"Sat, 09 Mar 1996","2","Highlanders v Transvaal","29-15","4:2","5-0","Dunedin",NA,"13+"
"S12","AUS",NA,"Sun, 10 Mar 1996","2","Reds v Chiefs","26-22","2:3","4-1","Brisbane",NA,"-12"
"S12","NZL",NA,"Sun, 10 Mar 1996","2","Crusaders v Blues","18-49","3:8","0-5","Christchurch",NA,"13+"
